Type,id,location,integer_decisions,charge_integer_decisions,discharge_integer_decisions,storage--commodity,storage--can_expand,storage--can_retire,storage--long_duration,storage--charge_discharge_ratio,storage--existing_capacity,storage--min_capacity,storage--max_new_capacity,storage--min_retired_capacity,storage--capacity_size,storage--investment_cost,storage--fixed_om_cost,storage--variable_om_cost,storage--wacc,storage--lifetime,storage--capital_recovery_period,storage--loss_fraction,storage--min_duration,storage--max_duration,storage--min_storage_level,storage--max_storage_level,storage--constraints--BalanceConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--MinStorageLevelConstraint,storage--constraints--MaxStorageLevelConstraint,edges--charge_edge--commodity,edges--charge_edge--start_vertex,edges--charge_edge--unidirectional,edges--charge_edge--has_capacity,edges--charge_edge--can_expand,edges--charge_edge--can_retire,edges--charge_edge--existing_capacity,edges--charge_edge--min_capacity,edges--charge_edge--max_new_capacity,edges--charge_edge--min_retired_capacity,edges--charge_edge--capacity_size,edges--charge_edge--investment_cost,edges--charge_edge--fixed_om_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--wacc,edges--charge_edge--lifetime,edges--charge_edge--capital_recovery_period,edges--charge_edge--efficiency,edges--charge_edge--loss_fraction,edges--charge_edge--min_flow_fraction,edges--charge_edge--constraints--CapacityConstraint,edges--charge_edge--constraints--MinCapacityConstraint,edges--charge_edge--constraints--MaxNewCapacityConstraint,edges--charge_edge--constraints--MinFlowConstraint,edges--charge_edge--constraints--StorageChargeLimitConstraint,edges--discharge_edge--commodity,edges--discharge_edge--end_vertex,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--existing_capacity,edges--discharge_edge--min_capacity,edges--discharge_edge--max_new_capacity,edges--discharge_edge--min_retired_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--investment_cost,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--wacc,edges--discharge_edge--lifetime,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--efficiency,edges--discharge_edge--loss_fraction,edges--discharge_edge--min_flow_fraction,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--MinCapacityConstraint,edges--discharge_edge--constraints--MaxNewCapacityConstraint,edges--discharge_edge--constraints--MinFlowConstraint,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,storage--constraints--StorageChargeDischargeRatioConstraint
Battery,Region1Beijing_battery,Region1Beijing,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,536.88,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,TRUE,89.48,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,TRUE,89.48,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region2Tianjin_battery,Region2Tianjin,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,131.16,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,21.86,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,TRUE,21.86,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region3Hebei_battery,Region3Hebei,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,28596,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,TRUE,4766,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,TRUE,4766,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region4Shanxi_battery,Region4Shanxi,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,11580,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,1930,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,TRUE,1930,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region5Innermongolia_battery,Region5Innermongolia,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,57210,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,9535,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,TRUE,9535,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region6Liaoning_battery,Region6Liaoning,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,600,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,100,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,TRUE,100,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region7Jilin_battery,Region7Jilin,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,1200,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,TRUE,200,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,TRUE,200,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region8Heilongjiang_battery,Region8Heilongjiang,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,600,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,100,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,TRUE,100,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region9Shanghai_battery,Region9Shanghai,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,18000,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,3000,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,TRUE,3000,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Battery,Region10Jiangsu_battery,Region10Jiangsu,FALSE,FALSE,FALSE,Electricity,TRUE,TRUE,FALSE,1,37176,0,,0,240,51618.575995960004,2064.74009196,0,0.08,15,15,0,2,6,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,6196,0,,0,60,0,0,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,TRUE,6196,0,,0,60,38511.783538719996,1540.46913064,0,0.08,15,15,0.95,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
