Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--startup_fuel_consumption,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--existing_capacity,edges--elec_edge--min_capacity,edges--elec_edge--capacity_size,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--startup_cost,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--min_flow_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--uc,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--fuel_edge--constraints--BalanceConstraint,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--elec_edge--constraints--MaxNewCapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint
ThermalPower,Region1Beijing_NaturalGasPower,Region1Beijing,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,9282,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region1Beijing,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region2Tianjin_NaturalGasPower,Region2Tianjin,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,4817,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region2Tianjin,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region3Hebei_NaturalGasPower,Region3Hebei,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,3506,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region3Hebei,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region4Shanxi_NaturalGasPower,Region4Shanxi,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,2008,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region4Shanxi,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region5Innermongolia_NaturalGasPower,Region5Innermongolia,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,300,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region5Innermongolia,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region6Liaoning_NaturalGasPower,Region6Liaoning,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,300,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region6Liaoning,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region7Jilin_NaturalGasPower,Region7Jilin,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,0,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region7Jilin,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region8Heilongjiang_NaturalGasPower,Region8Heilongjiang,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,0,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region8Heilongjiang,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region9Shanghai_NaturalGasPower,Region9Shanghai,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,9539.4,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region9Shanghai,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
ThermalPower,Region10Jiangsu_NaturalGasPower,Region10Jiangsu,FALSE,Electricity,TRUE,1.646549136532,0.211094,0,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,22675,0,200,527777.78,10555.56,3.194444,41.666667,0.08,30,30,0.3,0.5,0.5,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NaturalGas,natgas_Region10Jiangsu,FALSE,FALSE,CO2,co2_sink_national,FALSE,FALSE,TRUE
