Type,id,location,integer_decisions,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate,transforms--startup_fuel_consumption,edges--elec_edge--commodity,edges--elec_edge--end_vertex,edges--elec_edge--has_capacity,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--existing_capacity,edges--elec_edge--min_capacity,edges--elec_edge--capacity_size,edges--elec_edge--investment_cost,edges--elec_edge--fixed_om_cost,edges--elec_edge--variable_om_cost,edges--elec_edge--startup_cost,edges--elec_edge--wacc,edges--elec_edge--lifetime,edges--elec_edge--capital_recovery_period,edges--elec_edge--min_flow_fraction,edges--elec_edge--ramp_up_fraction,edges--elec_edge--ramp_down_fraction,edges--elec_edge--min_up_time,edges--elec_edge--min_down_time,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--uc,edges--fuel_edge--commodity,edges--fuel_edge--start_vertex,edges--fuel_edge--has_capacity,edges--fuel_edge--constraints--BalanceConstraint,edges--co2_edge--commodity,edges--co2_edge--end_vertex,edges--co2_edge--has_capacity,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex,edges--co2_captured_edge--has_capacity,edges--elec_edge--constraints--MaxNewCapacityConstraint,edges--elec_edge--constraints--MinCapacityConstraint
ThermalPowerCCS,Region1Beijing_CoalPowerCCS,Region1Beijing,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region1Beijing,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region1Beijing,FALSE,FALSE,TRUE
ThermalPowerCCS,Region2Tianjin_CoalPowerCCS,Region2Tianjin,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region2Tianjin,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region2Tianjin,FALSE,FALSE,TRUE
ThermalPowerCCS,Region3Hebei_CoalPowerCCS,Region3Hebei,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region3Hebei,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region3Hebei,FALSE,FALSE,TRUE
ThermalPowerCCS,Region4Shanxi_CoalPowerCCS,Region4Shanxi,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region4Shanxi,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region4Shanxi,FALSE,FALSE,TRUE
ThermalPowerCCS,Region5Innermongolia_CoalPowerCCS,Region5Innermongolia,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region5Innermongolia,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region5Innermongolia,FALSE,FALSE,TRUE
ThermalPowerCCS,Region6Liaoning_CoalPowerCCS,Region6Liaoning,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region6Liaoning,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region6Liaoning,FALSE,FALSE,TRUE
ThermalPowerCCS,Region7Jilin_CoalPowerCCS,Region7Jilin,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region7Jilin,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region7Jilin,FALSE,FALSE,TRUE
ThermalPowerCCS,Region8Heilongjiang_CoalPowerCCS,Region8Heilongjiang,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region8Heilongjiang,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region8Heilongjiang,FALSE,FALSE,TRUE
ThermalPowerCCS,Region9Shanghai_CoalPowerCCS,Region9Shanghai,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region9Shanghai,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region9Shanghai,FALSE,FALSE,TRUE
ThermalPowerCCS,Region10Jiangsu_CoalPowerCCS,Region10Jiangsu,FALSE,Electricity,TRUE,3.125,0.0328,0.2952,0,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,0,0,200,972222.22,24305.56,8.055556,152.777778,0.08,40,40,0.5,0.25,0.25,8,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Coal,coal_Region10Jiangsu,FALSE,FALSE,CO2,co2_sink_national_period1,FALSE,CO2Captured,co2captured_Region10Jiangsu,FALSE,FALSE,TRUE
